,capacity,traffic_intensity,block_rate
0,15,0.1,6.919439886398084e-28
1,15,0.6,1.9732969993642853e-16
2,15,1.1,1.0633267417759139e-12
3,15,1.6,1.7800367048706487e-10
4,15,2.1,6.3792760874399075e-09
5,15,2.6,9.526534913143056e-08
6,15,3.1,8.083752075548433e-07
7,15,3.6,4.61932305592734e-06
8,15,4.1,1.9708507604002923e-05
9,15,4.6,6.716216133218981e-05
10,15,5.1,0.0001915087828957269
11,15,5.6,0.0004724735603966184
12,15,6.1,0.001033985582681534
13,15,6.6,0.002045988670522303
14,15,7.1,0.003716069721103149
15,15,7.6,0.00627092373387937
16,15,8.1,0.009930998834929894
17,15,8.6,0.014883895496197817
18,15,9.1,0.021262356594340726
19,15,9.6,0.029131042132999507
20,15,10.1,0.03848359650356368
21,15,10.6,0.04924890988182981
22,15,11.1,0.06130377293253181
23,15,11.6,0.07448858548161463
24,15,12.1,0.08862318204364618
25,15,12.6,0.10352073721594536
26,15,13.1,0.11899869640991723
27,15,13.6,0.13488648056709462
28,15,14.1,0.15103024007277985
29,15,14.6,0.16729519885026967
30,15,15.1,0.18356620255647332
31,15,15.6,0.19974704085722703
32,15,16.1,0.21575901453336588
33,15,16.6,0.231539104706381
34,15,17.1,0.2470379966332271
35,15,17.6,0.2622181242196525
36,15,18.1,0.2770518357205456
37,15,18.6,0.291519734107501
38,15,19.1,0.3056092138000451
39,15,19.6,0.31931319518741946
40,15,20.1,0.3326290463573449
41,15,20.6,0.3455576750924773
42,15,21.1,0.35810277153949904
43,15,21.6,0.37027018160086433
44,15,22.1,0.382067392082484
45,15,22.6,0.3935031103136577
46,15,23.1,0.40458692293086884
47,15,23.6,0.41532902053629045
48,15,24.1,0.42573997686295384
49,15,24.6,0.43583057282834514
50,15,25.1,0.44561165740667874
51,15,25.6,0.4550940385931227
52,15,26.1,0.4642883988812096
53,15,26.6,0.47320523064536313
54,15,27.1,0.481854787634614
55,15,27.6,0.4902470494621968
56,15,28.1,0.49839169653867504
57,15,28.6,0.5062980933615348
58,15,29.1,0.5139752784576624
59,15,29.6,0.5214319595904607
60,15,30.1,0.5286765131022141
61,15,30.6,0.5357169864745183
62,15,31.1,0.5425611033633454
63,15,31.6,0.549216270507464
64,15,32.1,0.5556895860251272
65,15,32.6,0.561987848708849
66,15,33.1,0.5681175680055534
67,15,33.6,0.5740849744325511
68,15,34.1,0.5798960302312783
69,15,34.6,0.5855564401026314
70,15,35.1,0.5910716619017952
71,15,35.6,0.59644691719812
72,15,36.1,0.6016872016280101
73,15,36.6,0.606797294986905
74,15,37.1,0.6117817710210497
75,15,37.6,0.6166450068914948
76,15,38.1,0.6213911922921673
77,15,38.6,0.6260243382113455
78,15,39.1,0.6305482853318021
79,15,39.6,0.6349667120695294
80,15,40.1,0.6392831422545948
81,15,40.6,0.6435009524604455
82,15,41.1,0.647623378990086
83,15,41.6,0.6516535245290992
84,15,42.1,0.6555943644765809
85,15,42.6,0.6594487529658095
86,15,43.1,0.6632194285869258
87,15,43.6,0.6669090198241334
88,15,44.1,0.6705200502199852
89,15,44.6,0.6740549432792323
90,15,45.1,0.6775160271245192
91,15,45.6,0.6809055389159314
92,15,46.1,0.6842256290460642
93,15,46.6,0.6874783651218987
94,15,47.1,0.6906657357443602
95,15,47.6,0.6937896540960005
96,15,48.1,0.6968519613468043
97,15,48.6,0.6998544298876718
98,15,49.1,0.7027987664006883
99,15,49.6,0.7056866147748483
100,15,50.1,0.7085195588754772
101,15,50.6,0.7112991251751712
102,15,51.1,0.7140267852536751
103,15,51.6,0.7167039581737242
104,15,52.1,0.7193320127395085
105,15,52.6,0.7219122696440491
106,15,53.1,0.7244460035114446
107,15,53.6,0.7269344448396124
108,15,54.1,0.729378781848842
109,15,54.6,0.7317801622411808
110,15,55.1,0.7341396948753994
111,15,55.6,0.7364584513620085
112,15,56.1,0.7387374675825593
113,15,56.6,0.7409777451372169
114,15,57.1,0.7431802527243726
115,15,57.6,0.7453459274558526
116,15,58.1,0.7474756761110795
117,15,58.6,0.7495703763333538
118,15,59.1,0.7516308777712493
119,15,59.6,0.7536580031679435
120,15,60.1,0.7556525494011544
121,15,60.6,0.7576152884761971
122,15,61.1,0.7595469684745442
123,15,61.6,0.7614483144601332
124,15,62.1,0.7633200293455474
125,15,62.6,0.7651627947200755
126,15,63.1,0.7669772716415455
127,15,63.6,0.7687641013937283
128,15,64.1,0.7705239062110066
129,15,64.6,0.7722572899719086
130,15,65.1,0.7739648388630295
131,15,65.6,0.7756471220147725
132,15,66.1,0.7773046921102694
133,15,66.6,0.778938085968766
134,15,67.1,0.7805478251046911
135,15,67.6,0.7821344162635637
136,15,68.1,0.7836983519358289
137,15,68.6,0.7852401108496604
138,15,69.1,0.78676015844371
139,15,69.6,0.7882589473207352
140,15,70.1,0.789736917682989
141,15,70.6,0.7911944977502063
142,15,71.1,0.7926321041609845
143,15,71.6,0.7940501423583106
144,15,72.1,0.7954490069599506
145,15,72.6,0.7968290821143835
146,15,73.1,0.7981907418429213
147,15,73.6,0.799534350368633
148,15,74.1,0.8008602624326522
149,15,74.6,0.8021688235984256
150,15,75.1,0.8034603705444253
151,15,75.6,0.8047352313458314
152,15,76.1,0.8059937257456568
153,15,76.6,0.8072361654157707
154,15,77.1,0.8084628542082531
155,15,77.6,0.8096740883974879
156,15,78.1,0.8108701569133911
157,15,78.6,0.8120513415661439
158,15,79.1,0.8132179172627855
159,15,79.6,0.8143701522160077
160,15,80.1,0.8155083081454705
161,15,80.6,0.8166326404719482
162,15,81.1,0.8177433985046003
163,15,81.6,0.8188408256216455
164,15,82.1,0.8199251594447075
165,15,82.6,0.8209966320070861
166,15,83.1,0.8220554699162002
167,15,83.6,0.8231018945104305
168,15,84.1,0.8241361220105887
169,15,84.6,0.825158363666222
170,15,85.1,0.826168825896957
171,15,85.6,0.8271677104290772
172,15,86.1,0.8281552144275182
173,15,86.6,0.8291315306234581
174,15,87.1,0.8300968474376731
175,15,87.6,0.8310513490998194
176,15,88.1,0.8319952157637972
177,15,88.6,0.8329286236193448
178,15,89.1,0.8338517450000054
179,15,89.6,0.834764748487601
180,15,90.1,0.8356677990133463
181,15,90.6,0.8365610579557251
182,15,91.1,0.8374446832352499
183,15,91.6,0.8383188294062183
184,15,92.1,0.8391836477455776
185,15,92.6,0.8400392863390014
186,15,93.1,0.8408858901642792
187,15,93.6,0.8417236011721172
188,15,94.1,0.8425525583644414
189,15,94.6,0.8433728978702938
190,15,95.1,0.844184753019405
191,15,95.6,0.844988254413528
192,15,96.1,0.84578352999561
193,15,96.6,0.8465707051168785
194,15,97.1,0.8473499026019138
195,15,97.6,0.8481212428117799
196,15,98.1,0.848884843705277
197,15,98.6,0.8496408208983841
198,15,99.1,0.8503892877219508
199,15,99.6,0.8511303552776994
200,15,100.1,0.8518641324925932
201,15,100.6,0.8525907261716279
202,15,101.1,0.8533102410490975
203,15,101.6,0.8540227798383855
204,15,102.1,0.8547284432803326
205,15,102.6,0.8554273301902254
206,15,103.1,0.8561195375034527
207,15,103.6,0.8568051603198733
208,15,104.1,0.8574842919469375
209,15,104.6,0.8581570239416021
210,15,105.1,0.8588234461510779
211,15,105.6,0.8594836467524483
212,15,106.1,0.8601377122911946
213,15,106.6,0.8607857277186634
214,15,107.1,0.8614277764285072
215,15,107.6,0.8620639402921361
216,15,108.1,0.8626942996932053
217,15,108.6,0.8633189335611744
218,15,109.1,0.8639379194039627
219,15,109.6,0.8645513333397327
220,15,110.1,0.8651592501278255
221,15,110.6,0.8657617431988769
222,15,111.1,0.8663588846841377
223,15,111.6,0.8669507454440224
224,15,112.1,0.8675373950959117
225,15,112.6,0.8681189020412288
226,15,113.1,0.868695333491814
227,15,113.6,0.8692667554956168
228,15,114.1,0.8698332329617262
229,15,114.6,0.8703948296847607
230,15,115.1,0.870951608368634
231,15,115.6,0.8715036306497183
232,15,116.1,0.8720509571194192
233,15,116.6,0.8725936473461838
234,15,117.1,0.8731317598969537
235,15,117.6,0.8736653523580836
236,15,118.1,0.8741944813557376
237,15,118.6,0.8747192025757803
238,15,119.1,0.8752395707831766
239,15,119.6,0.8757556398409134
240,15,120.1,0.8762674627284589
241,15,120.6,0.8767750915597701
242,15,121.1,0.8772785776008631
243,15,121.6,0.8777779712869589
244,15,122.1,0.8782733222392134
245,15,122.6,0.8787646792810482
246,15,123.1,0.8792520904540886
247,15,123.6,0.8797356030337229
248,15,124.1,0.8802152635442912
249,15,124.6,0.8806911177739171
250,15,125.1,0.8811632107889867
251,15,125.6,0.8816315869482916
252,15,126.1,0.8820962899168378
253,15,126.6,0.8825573626793357
254,15,127.1,0.8830148475533758
255,15,127.6,0.8834687862022996
256,15,128.1,0.8839192196477759
257,15,128.6,0.8843661882820861
258,15,129.1,0.8848097318801316
259,15,129.6,0.8852498896111649
260,15,130.1,0.8856867000502575
261,15,130.6,0.8861202011895067
262,15,131.1,0.8865504304489908
263,15,131.6,0.8869774246874785
264,15,132.1,0.8874012202128988
265,15,132.6,0.8878218527925787
266,15,133.1,0.8882393576632528
267,15,133.6,0.8886537695408513
268,15,134.1,0.8890651226300741
269,15,134.6,0.889473450633753
270,15,135.1,0.8898787867620104
271,15,135.6,0.8902811637412186
272,15,136.1,0.8906806138227631
273,15,136.6,0.8910771687916176
274,15,137.1,0.891470859974735
275,15,137.6,0.8918617182492555
276,15,138.1,0.8922497740505417
277,15,138.6,0.8926350573800412
278,15,139.1,0.893017597812982
279,15,139.6,0.8933974245059046
280,15,140.1,0.8937745662040373
281,15,140.6,0.8941490512485127
282,15,141.1,0.8945209075834365
283,15,141.6,0.8948901627628065
284,15,142.1,0.8952568439572883
285,15,142.6,0.8956209779608514
286,15,143.1,0.8959825911972653
287,15,143.6,0.8963417097264652
288,15,144.1,0.8966983592507847
289,15,144.6,0.8970525651210619
290,15,145.1,0.8974043523426205
291,15,145.6,0.8977537455811297
292,15,146.1,0.8981007691683456
293,15,146.6,0.8984454471077354
294,15,147.1,0.8987878030799906
295,15,147.6,0.8991278604484275
296,15,148.1,0.8994656422642808
297,15,148.6,0.8998011712718919
298,15,149.1,0.9001344699137932
299,15,149.6,0.9004655603356935
300,15,150.1,0.9007944643913625
301,15,150.6,0.9011212036474215
302,15,151.1,0.9014457993880397
303,15,151.6,0.9017682726195375
304,15,152.1,0.9020886440749016
305,15,152.6,0.9024069342182118
306,15,153.1,0.9027231632489823
307,15,153.6,0.903037351106419
308,15,154.1,0.9033495174735953
309,15,154.6,0.9036596817815477
310,15,155.1,0.9039678632132928
311,15,155.6,0.9042740807077689
312,15,156.1,0.9045783529637011
313,15,156.6,0.9048806984433948
314,15,157.1,0.9051811353764562
